"Table 303.70. Total undergraduate fall enrollment in degree-granting postsecondary institutions, by attendance status, sex of student, and control
              and level of institution: Selected years, 1970 through 2029",,,,,,,,,,,,,
1999,5653256,2167242,3486014,2413322,3239934,979203,1434119,1188039,2051895,5397786,255470,63301,192169
2000,5948104,2217044,3731060,2558520,3389584,995839,1562681,1221205,2168379,5697061,251043,58844,192199
2001,6250529,2374490,3876039,2675193,3575336,1066281,1608912,1308209,2267127,5996651,253878,47549,206329
2002,6529198,2556032,3973166,2753405,3775793,1135669,1617736,1420363,2355430,6270199,258999,47087,211912
2003,6493862,2650337,3843525,2689928,3803934,1162555,1527373,1487782,2316152,6208885,284977,43868,241109
2004,6545570,2683489,3862081,2697507,3848063,1166554,1530953,1516935,2331128,6243344,302226,42250,259976
2005,6487826,2646763,3841063,2680299,3807527,1153759,1526540,1493004,2314523,6184000,303826,43522,260304
2006,6513303,2643162,3870141,2701970,3811333,1159733,1542237,1483429,2327904,6219880,293423,39156,254267
2007,6628936,2694608,3934328,2775166,3853770,1191058,1584108,1503550,2350220,6335826,293110,33492,259618
2008,6970947,2832412,4138535,2935799,4035148,1250063,1685736,1582349,2452799,6639928,331019,35358,295661
2009,7522581,3243952,4278629,3197338,4325243,1446372,1750966,1797580,2527663,7101569,421012,34772,386240
2010,7683597,3365379,4318218,3265885,4417712,1483230,1782655,1882149,2535563,7218063,465534,32683,432851
2011,7511150,3170207,4340943,3175803,4335347,1391183,1784620,1779024,2556323,7068158,442992,39855,403137
2012,7167840,2941797,4226043,3046093,4121747,1305657,1740436,1636140,2485607,6792065,375775,37698,338077
2013,6970644,2836274,4134370,2998440,3972204,1279794,1718646,1556480,2415724,6626411,344233,32191,312042
2014,6714678,2661107,4053571,2894020,3820658,1200648,1693372,1460459,2360199,6397552,317126,30376,286750
2015,6499461,2510684,3988777,2818075,3681386,1143704,1674371,1366980,2314406,6224304,275157,50009,225148
2016,6092418,2309347,3783071,2637394,3455024,1057839,1579555,1251508,2203516,5842909,249509,50555,198954
2017,5952771,2227324,3725447,2566527,3386244,1013595,1552932,1213729,2172515,5717460,235311,48395,186916
2018,5745208,2110768,3634440,2451669,3293539,953726,1497943,1157042,2136497,5546704,198504,45154,153350
"2019\1\ ",5770000,2117000,3654000,2462000,3309000,956000,1506000,1161000,2148000,5571000,199000,---,---
"2020\1\ ",5783000,2116000,3667000,2466000,3317000,955000,1511000,1161000,2156000,5584000,199000,---,---
"2021\1\ ",5799000,2116000,3683000,2472000,3328000,955000,1517000,1161000,2166000,5600000,199000,---,---
"2022\1\ ",5814000,2117000,3697000,2477000,3337000,954000,1523000,1163000,2174000,5614000,199000,---,---
"2023\1\ ",5832000,2120000,3712000,2484000,3347000,955000,1529000,1165000,2183000,5632000,200000,---,---
"2024\1\ ",5853000,2126000,3727000,2494000,3359000,958000,1536000,1168000,2191000,5652000,200000,---,---
"2025\1\ ",5872000,2133000,3738000,2502000,3369000,961000,1541000,1172000,2197000,5670000,201000,---,---
"2026\1\ ",5895000,2141000,3754000,2513000,3382000,965000,1548000,1176000,2206000,5693000,202000,---,---
"2027\1\ ",5907000,2142000,3765000,2519000,3389000,965000,1553000,1177000,2212000,5705000,202000,---,---
"2028\1\ ",5915000,2140000,3775000,2522000,3394000,965000,1557000,1175000,2218000,5714000,202000,---,---
"2029\1\ ",5922000,2137000,3785000,2525000,3397000,964000,1561000,1174000,2224000,5721000,202000,---,---
"4-year insti-
   tutions",,,,,,,,,,,,,
1970,5049688,4051155,998533,2875276,2174412,2325073,550203,1726082,448330,3425272,1624416,1616834,7582
1975,5713729,4407387,1306342,3093401,2620328,2423797,669604,1983590,636738,3994059,1719670,1701847,17823
1980,5949958,4608107,1341851,2953535,2996423,2347238,606297,2260869,735554,4114363,1835595,1812609,22986
1985,6065597,4628985,1436612,2959846,3105751,2330138,629708,2298847,806904,4207392,1858205,1820205,38000
1986,6118427,4655812,1462615,2956573,3161854,2321779,634794,2334033,827821,4247025,1871402,1826796,44606
1987,6270013,4753880,1516133,2995634,3274379,2343509,652125,2410371,864008,4377535,1892478,1849840,42638
1988,6441393,4898836,1542557,3047955,3393438,2387849,660106,2510987,882451,4487659,1953734,---,---
1989,6591642,4984995,1606647,3094190,3497452,2408959,685231,2576036,921416,4604082,1987560,---,---
1990,6719023,5092068,1626955,3146990,3572033,2455143,691847,2636925,935108,4713121,2005902,1954249,51653
1991,6787387,5146882,1640505,3169093,3618294,2474129,694964,2672753,945541,4743142,2044245,1983065,61180
1992,6815351,5164437,1650914,3169670,3645681,2472923,696747,2691514,954167,4731783,2083568,2018433,65135
1993,6758398,5136163,1622235,3138286,3620112,2453781,684505,2682382,937730,4674765,2083633,2012840,70793
1994,6732999,5136993,1596006,3098952,3634047,2430002,668950,2706991,927056,4636762,2096237,2014858,81379
1995,6739621,5168222,1571399,3072630,3666991,2418395,654235,2749827,917164,4626228,2113393,2029539,83854
1996,6764168,5226624,1537544,3061880,3702288,2422656,639224,2803968,898320,4621245,2142923,2037065,105858
1997,6845018,5323427,1521591,3078821,3766197,2448203,630618,2875224,890973,4646793,2198225,2068030,130195
1998,6947623,5452805,1494818,3112799,3834824,2491740,621059,2961065,873759,4704249,2243374,2086785,156589
1999,7086189,5586306,1499883,3170912,3915277,2545383,625529,3040923,874354,4776442,2309747,2121989,187758
2000,7207289,5705882,1501407,3219748,3987541,2592407,627341,3113475,874066,4842261,2365028,2154336,210692
2001,7465081,5953150,1511931,3329238,4135843,2702349,626889,3250801,885042,4989220,2475861,2210169,265692
2002,7727879,6178220,1549659,3438985,4288894,2798499,640486,3379721,909173,5162656,2565223,2259004,306219
2003,7986502,6394916,1591586,3537444,4449058,2886127,651317,3508789,940269,5314218,2672284,2302805,369479
2004,8235060,6600847,1634213,3642541,4592519,2974074,668467,3626773,965746,5407236,2827824,2347116,480708
2005,8476138,6799667,1676471,3728572,4747566,3047104,681468,3752563,995003,5513730,2962408,2374846,587562
2006,8666288,6928187,1738101,3809228,4857060,3104989,704239,3823198,1033862,5622745,3043543,2409094,634449
2007,8984604,7147365,1837239,3956395,5028209,3206344,750051,3941021,1087188,5811918,3172686,2436971,735715
2008,9373645,7411762,1961883,4119841,5253804,3320850,798991,4090912,1162892,5950019,3423626,2500431,923195
2009,9941598,7794323,2147275,4365838,5575760,3495748,870090,4298575,1277185,6284806,3656792,2560399,1096393
2010,10398830,8091661,2307169,4570397,5828433,3635745,934652,4455916,1372517,6484937,3913893,2620310,1293583
2011,10566153,8194968,2371185,4647189,5918964,3679370,967819,4515598,1403366,6626741,3939412,2679068,1260344
2012,10567798,8155295,2412503,4668845,5898953,3678732,990113,4476563,1422390,6686035,3881763,2706702,1175061
2013,10505660,8103002,2402658,4661700,5843960,3670416,991284,4432586,1411374,6721881,3783779,2723272,1060507
2014,10579458,8123285,2456173,4692279,5887179,3676883,1015396,4446402,1440777,6846981,3732477,2741689,990788
2015,10547212,8092346,2454866,4684179,5863033,3665394,1018785,4426952,1436081,6926519,3620693,2772113,848580
2016,10782231,8120721,2661510,4779465,6002766,3667671,1111794,4453050,1549716,7301070,3481161,2763187,717974
2017,10820265,8144539,2675726,4784732,6035533,3670120,1114612,4474419,1561114,7395134,3425131,2770685,654446
2018,10865027,8156367,2708660,4774330,6090697,3649026,1125304,4507341,1583356,7502622,3362405,2776499,585906
"2019\1\ ",10902000,8179000,2723000,4788000,6114000,3656000,1131000,4523000,1592000,7528000,3374000,---,---
"2020\1\ ",10910000,8177000,2733000,4788000,6121000,3653000,1135000,4524000,1598000,7534000,3376000,---,---
"2021\1\ ",10921000,8177000,2745000,4792000,6130000,3652000,1140000,4525000,1605000,7543000,3379000,---,---
"2022\1\ ",10936000,8180000,2755000,4795000,6140000,3652000,1144000,4529000,1611000,7553000,3383000,---,---
"2023\1\ ",10958000,8192000,2766000,4803000,6155000,3654000,1149000,4538000,1617000,7569000,3390000,---,---
"2024\1\ ",10992000,8215000,2777000,4818000,6174000,3664000,1154000,4550000,1624000,7592000,3400000,---,---
"2025\1\ ",11030000,8244000,2786000,4835000,6194000,3678000,1158000,4566000,1628000,7618000,3412000,---,---
"2026\1\ ",11072000,8274000,2798000,4854000,6218000,3691000,1163000,4583000,1635000,7647000,3425000,---,---
"2027\1\ ",11083000,8277000,2806000,4860000,6224000,3693000,1167000,4584000,1639000,7656000,3428000,---,---
"2028\1\ ",11084000,8270000,2814000,4861000,6223000,3691000,1170000,4579000,1644000,7656000,3428000,---,---
"2029\1\ ",11080000,8260000,2821000,4860000,6220000,3687000,1173000,4572000,1648000,7654000,3426000,---,---
"---Not available.",,,,,,,,,,,,,
\1\Projected.,,,,,,,,,,,,,
"\2\Beginning in 1980, 2-year institutions include schools accredited by the Accrediting Commission of Career Schools and Colleges of Technology.",,,,,,,,,,,,,
"NOTE: Data through 1995 are for institutions of higher education, while later data are for degree-granting institutions. Degree-granting institutions grant associate’s or higher degrees and participate in Title IV federal financial aid programs. The degree-granting classification is very similar to the earlier higher education classification, but it includes more 2-year colleges and excludes a few higher education institutions that did not grant degrees. Some data have been revised from previously published figures.",,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Higher Education General Information Survey (HEGIS), ""Fall Enrollment in Colleges and Universities"" surveys, 1970 through 1985; Integrated Postsecondary Education Data System (IPEDS), ""Fall Enrollment Survey"" (IPEDS-EF:86-99); IPEDS Spring 2001 through Spring 2019, Fall Enrollment component; and Enrollment in Degree-Granting Institutions Projection Model, 2000 through 2029. (This table was prepared December 2019.)",,,,,,,,,,,,,
